Year,Date,Setlist
1969,04/11/69,cryptical envelopment:the other one:cryptical envelopment:it's a sin:hard to handle:dark star:st. stephen:the eleven:turn on your love light::
1969,04/12/69,morning dew:good morning little school girl:doin' that rag:he was a friend of mine:cryptical envelopment:the other one:cryptical envelopment:dark star:st. stephen:the eleven:turn on your love light:feedback::
1969,04/13/69,turn on your love light:doin' that rag:good morning little school girl:morning dew:dark star:st. stephen:the eleven:death don't have no mercy:alligator:drums:alligator:caution (do not stop on tracks):
1969,04/15/69,hard to handle:beat it on down the line:morning dew:it hurts me too:china cat sunflower:doin' that rag:it's a sin:turn on your love light:sitting on top of the world:cryptical envelopment:drums:the other one:cryptical envelopment:dark star:st. stephen:the eleven::
1969,04/17/69,morning dew:good morning little school girl:dark star:st. stephen:it's a sin:st. stephen:the eleven:turn on your love light:cryptical envelopment:drums:the other one:cryptical envelopment:caution (do not stop on tracks):
1969,04/18/69,hard to handle:morning dew:cryptical envelopment:drums:the other one:cryptical envelopment:sitting on top of the world:i'm a king bee:doin' that rag:turn on your love light:cosmic charlie:beat it on down the line:
1969,04/20/69,morning dew:good morning little school girl:doin' that rag:dark star:st. stephen:the eleven:death don't have no mercy:turn on your love light:dupree's diamond blues:mountains of the moon:
1969,04/21/69,hard to handle:morning dew:cryptical envelopment:drums:the other one:cryptical envelopment:sitting on top of the world:alligator:drums:jam:alligator:doin' that rag:foxy lady jam:dark star:st. stephen:the eleven:turn on your love light:viola lee blues:
1969,04/22/69,sitting on top of the world:morning dew:beat it on down the line:good morning little school girl:doin' that rag:cryptical envelopment:drums:the other one:cryptical envelopment:death don't have no mercy:dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven:turn on your love light:caution (do not stop on tracks) jam:turn on your love light:
1969,04/23/69,he was a friend of mine:dark star:st. stephen:cryptical envelopment:drums:the other one:cryptical envelopment:sitting on top of the world:turn on your love light:morning dew:hard to handle:doin' that rag:alligator:drums:the eleven:alligator:caution (do not stop on tracks):and we bid you goodnight:it's all over now baby blue:
1969,04/25/69,hard to handle:doin' that rag:good morning little school girl:morning dew:sitting on top of the world:turn on your love light:
1969,04/26/69,dupree's diamond blues:mountains of the moon:dark star jam:china cat sunflower:doin' that rag:it hurts me too:hard to handle:cryptical envelopment:drums:the other one:the eleven jam:the other one:it's a sin:morning dew:sitting on top of the world:minglewood blues:silver threads:it's all over now baby blue:st. stephen:turn on your love light:drums:viola lee blues:caution (do not stop on tracks) jam:viola lee blues:feedback:what's become of my baby:feedback:and we bid you goodnight:
1969,04/27/69,turn on your love light:me and my uncle:sitting on top of the world:dark star:st. stephen:the eleven:turn on your love light:morning dew:
1969,05/02/69,cold rain and snow:alligator:the other one:death don't have no mercy:
1969,05/03/69,he was a friend of mine:cryptical envelopment:drums:the other one:cryptical envelopment:doin' that rag:me and my uncle:dupree's diamond blues:sitting on top of the world:dark star:st. stephen:the eleven:turn on your love light:it's all over now baby blue:
1969,05/03/69,morning dew:turn on your love light:it's all over now baby blue:
1969,05/07/69,turn on your love light:good lovin':dancin' in the streets:cryptical envelopment:drums:the other one:cryptical envelopment:dark star:me and my uncle:hi heeled sneakers:the eleven:smokestack lightning:
1969,05/09/69,me and my uncle:hard to handle:doin' that rag:new potato caboose:turn on your love light:
1969,05/10/69,hard to handle:me and my uncle:morning dew:doin' that rag:dark star:st. stephen:the eleven:turn on your love light:
1969,05/16/69,good morning little school girl:doin' that rag:me and my uncle:hard to handle:turn on your love light:
1969,05/23/69,dancin' in the streets:casey jones:hard to handle:morning dew:me and my uncle:dark star:st. stephen:the eleven:
1969,05/24/69,turn on your love light:doin' that rag:he was a friend of mine:china cat sunflower:the eleven:death don't have no mercy:alligator:drums:st. stephen:feedback:and we bid you goodnight:
1969,05/28/69,smokestack lightning:cryptical envelopment:drums:the other one:cryptical envelopment:turn on your love light:
1969,05/29/69,morning dew:cryptical envelopment:drums:the other one:cryptical envelopment:good morning little school girl:me and my uncle:alligator:drums:turn on your love light:
1969,05/30/69,morning dew:me and my uncle:doin' that rag:i'm a king bee:dark star:st. stephen:the eleven:turn on your love light:
1969,05/31/69,hard to handle:cold rain and snow:green green grass of home:me and my uncle:cryptical envelopment:drums:the other one:cryptical envelopment:sitting on top of the world:it hurts me too:turn on your love light:he was a friend of mine:dark star:feedback:dark star:doin' that rag:cosmic charlie:it's all over now baby blue:and we bid you goodnight:
1969,06/05/69,morning dew:me and my uncle:doin' that rag:he was a friend of mine:hard to handle:cosmic charlie:cryptical envelopment:drums:the other one:cryptical envelopment:china cat sunflower:sitting on top of the world:dark star:
1969,06/06/69,smokestack lightning:green green grass of home:me and my uncle:checkin up on my baby:beat it on down the line:turn on your love light:
1969,06/07/69,dire wolf:dupree's diamond blues:mountains of the moon:dark star:st. stephen:the eleven:sitting on top of the world:cold rain and snow:doin' that rag:me and my uncle:turn on your love light:
1969,06/08/69,turn on your love light:
1969,06/11/69,let it be me:silver threads:mama tried:cathy's clown:me and my uncle:slewfoot:dire wolf:games people play:the race is on:green green grass of home:tiger by the tail:i've just seen a face:all i have to do is dream:wabash cannonball:railroading across the great divide:
1969,06/13/69,hard to handle:me and my uncle:sitting on top of the world:beat it on down the line:good morning little school girl:china cat sunflower:morning dew:st. stephen:the eleven:turn on your love light:
1969,06/14/69,turn on your love light:me and my uncle:doin' that rag:he was a friend of mine:dire wolf:dark star:st. stephen:the eleven:turn on your love light:drums:turn on your love light:
1969,06/20/69,i'm a king bee:cold jordan:dire wolf:casey jones:mama tried:turn on your love light:alligator:
1969,06/21/69,green green grass of home:me and my uncle:high time:china cat sunflower:morning dew:alligator:drums:jam:the other one:cryptical envelopment:slewfoot:cosmic charlie:
1969,06/21/69,old:old house:sitting on top of the world:king bee:dire wolf:mama tried:high time:dupree's diamond blues:yellow dog story:dark star:st. stephen:the eleven:turn on your love light:
1969,06/22/69,silver threads:me and my uncle:sitting on top of the world:casey jones:hard to handle:turn on your love light:dancin' in the streets:dark star:the other one:st. stephen:it's a sin:
1969,06/27/69,slewfoot:mama tried:dupree's diamond blues:me and my uncle:casey jones:dire wolf:dark star:st. stephen:the eleven:green green grass of home:it's all over now baby blue:drums:
1969,06/28/69,slewfoot:silver threads:mama tried:me and my uncle:doin' that rag:high time:i'm a king bee:sitting on top of the world:turn on your love light:
1969,07/04/69,hard to handle:mama tried:slewfoot:silver threads and golden needles:cryptical envelopment:drums:the other one:high time:casey jones:king bee:sitting on top of the world:me and my uncle:doin' that rag:let me in:dire wolf:st. stephen:turn on your love light:
1969,07/05/69,morning dew:dark star:st. stephen:the eleven:it's all over now baby blue:china cat sunflower:jam:high time:mama tried:hard to handle:casey jones:turn on your love light:
1969,07/07/69,morning dew:mama tried:high time:casey jones:dark star:st. stephen:the eleven:turn on your love light:
1969,07/08/69,green green grass of home:el paso:cryptical envelopment:drums:the other one:cryptical envelopment:casey jones:morning dew:
1969,07/10/69,st. stephen:mountains of the moon:turn on your love light:
1969,07/11/69,dupree's diamond blues:dire wolf:hard to handle:silver threads:casey jones:sitting on top of the world:big boss man:mama tried:high time:drums:caution (do not stop on tracks) jam:the other one:cryptical envelopment:death don't have no mercy:turn on your love light:
